type,dir,name,row,col,side,scale,flip
exr,data/KAIST,scene14_reflectance.exr,263,3000,96,1,False
exr,data/KAIST,scene14_reflectance.exr,346,1342,96,1,False
exr,data/KAIST,scene14_reflectance.exr,935,1565,96,1,False
exr,data/KAIST,scene14_reflectance.exr,908,1380,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2252,2793,96,1,False
exr,data/KAIST,scene14_reflectance.exr,193,529,96,1,False
exr,data/KAIST,scene14_reflectance.exr,801,860,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1396,2589,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1402,2010,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1953,253,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1480,937,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1079,2888,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1843,1937,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2579,551,96,1,False
exr,data/KAIST,scene14_reflectance.exr,571,19,96,1,False
exr,data/KAIST,scene14_reflectance.exr,180,539,96,1,False
exr,data/KAIST,scene14_reflectance.exr,254,785,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2126,2045,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1946,3036,96,1,False
exr,data/KAIST,scene14_reflectance.exr,407,2561,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1495,1869,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2151,14,96,1,False
exr,data/KAIST,scene14_reflectance.exr,689,17,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1161,2320,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1931,331,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1670,453,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1848,1820,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2538,1481,96,1,False
exr,data/KAIST,scene14_reflectance.exr,938,2361,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1145,167,96,1,False
exr,data/KAIST,scene14_reflectance.exr,110,2043,96,1,False
exr,data/KAIST,scene14_reflectance.exr,932,2441,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2413,2784,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2287,67,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1521,3247,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2001,72,96,1,False
exr,data/KAIST,scene14_reflectance.exr,263,2067,96,1,False
exr,data/KAIST,scene14_reflectance.exr,459,2755,96,1,False
exr,data/KAIST,scene14_reflectance.exr,949,706,96,1,False
exr,data/KAIST,scene14_reflectance.exr,721,3055,96,1,False
exr,data/KAIST,scene14_reflectance.exr,94,1571,96,1,False
exr,data/KAIST,scene14_reflectance.exr,452,2324,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2557,2223,96,1,False
exr,data/KAIST,scene14_reflectance.exr,996,1886,96,1,False
exr,data/KAIST,scene14_reflectance.exr,234,925,96,1,False
exr,data/KAIST,scene14_reflectance.exr,187,2136,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1929,3278,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1412,463,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1161,2229,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1775,2835,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1317,1899,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1491,2065,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2186,1769,96,1,False
